,Case,No,Task,segment,year,miles,night,gender,age,educ,region,Urb,income,ppark,Choice,alt,CC,GN,NS,BU,FA,LD,BZ,FC,FP,RP,PP,KA,SC,TS,NV,MA,LB,AF,HU,Price,chid
2231.Ch1,186,3526,11,Midsize Car,2002,25,5,0,70,2,SE,1,250000,52,Ch2,1,0,0,5,0,0,1,3,1,1,0,3,2,2,0,0,0,0,0,1,8,2231
2231.Ch2,186,3526,11,Midsize Car,2002,25,5,0,70,2,SE,1,250000,52,Ch2,2,0,0,1,0,0,2,1,2,3,0,3,2,1,0,0,0,0,0,1,7,2231
2231.Ch3,186,3526,11,Midsize Car,2002,25,5,0,70,2,SE,1,250000,52,Ch2,3,0,0,5,0,0,3,3,1,4,0,3,2,3,0,0,0,0,0,2,5,2231
2231.Ch4,186,3526,11,Midsize Car,2002,25,5,0,70,2,SE,1,250000,52,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231
2232.Ch1,186,3527,12,Midsize Car,2002,25,5,0,70,2,SE,1,250000,52,Ch3,1,3,0,0,1,0,1,2,0,0,2,0,0,0,0,3,0,1,3,2,2,2232
2232.Ch2,186,3527,12,Midsize Car,2002,25,5,0,70,2,SE,1,250000,52,Ch3,2,3,0,0,6,0,3,1,0,0,1,0,0,0,0,1,0,1,2,2,12,2232
2232.Ch3,186,3527,12,Midsize Car,2002,25,5,0,70,2,SE,1,250000,52,Ch3,3,3,0,0,6,0,2,1,0,0,1,0,0,0,0,1,0,1,3,2,2,2232
2232.Ch4,186,3527,12,Midsize Car,2002,25,5,0,70,2,SE,1,250000,52,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2232
2233.Ch1,187,3535,1,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,1,3,0,4,0,0,2,2,0,4,0,0,2,3,2,0,0,3,0,0,12,2233
2233.Ch2,187,3535,1,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,2,2,0,3,0,0,2,1,0,3,0,0,2,2,3,0,0,1,0,0,12,2233
2233.Ch3,187,3535,1,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,3,2,0,5,0,0,3,3,0,3,0,0,1,3,2,0,0,2,0,0,6,2233
2233.Ch4,187,3535,1,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2233
2234.Ch1,187,3536,2,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch2,1,0,0,0,2,1,3,0,0,0,1,1,0,0,3,1,3,0,0,1,9,2234
2234.Ch2,187,3536,2,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch2,2,0,0,0,1,1,3,0,0,0,1,3,0,0,1,2,1,0,0,1,2,2234
2234.Ch3,187,3536,2,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch2,3,0,0,0,4,2,2,0,0,0,1,3,0,0,1,3,1,0,0,1,11,2234
2234.Ch4,187,3536,2,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2234
2235.Ch1,187,3537,3,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,1,0,2,0,0,0,0,3,1,0,2,3,1,0,2,0,0,1,3,0,1,2235
2235.Ch2,187,3537,3,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,2,0,2,0,0,0,0,1,2,0,2,2,1,0,1,0,0,3,3,0,5,2235
2235.Ch3,187,3537,3,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,3,0,2,0,0,0,0,2,1,0,2,2,2,0,2,0,0,2,3,0,3,2235
2235.Ch4,187,3537,3,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235
2236.Ch1,187,3538,4,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,1,3,1,3,6,1,0,0,0,0,0,0,0,1,0,3,0,0,2,1,3,2236
2236.Ch2,187,3538,4,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,2,2,2,2,4,2,0,0,0,0,0,0,0,2,0,3,0,0,3,1,1,2236
2236.Ch3,187,3538,4,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,3,2,2,5,1,1,0,0,0,0,0,0,0,2,0,2,0,0,2,2,5,2236
2236.Ch4,187,3538,4,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2236
2237.Ch1,187,3539,5,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,1,0,0,0,1,0,2,0,0,2,0,2,1,0,0,0,4,4,3,2,6,2237
2237.Ch2,187,3539,5,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,2,0,0,0,1,0,1,0,0,4,0,2,2,0,0,0,3,4,1,2,12,2237
2237.Ch3,187,3539,5,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,3,0,0,0,5,0,1,0,0,4,0,2,2,0,0,0,4,4,1,1,8,2237
2237.Ch4,187,3539,5,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237
2238.Ch1,187,3540,6,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,1,2,1,0,0,0,0,3,1,3,2,0,0,0,3,2,3,0,0,0,2,2238
2238.Ch2,187,3540,6,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,2,2,1,0,0,0,0,1,1,3,1,0,0,0,3,3,4,0,0,0,7,2238
2238.Ch3,187,3540,6,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,3,1,1,0,0,0,0,1,2,4,2,0,0,0,2,3,2,0,0,0,4,2238
2238.Ch4,187,3540,6,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2238
2239.Ch1,187,3541,7,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,1,0,0,3,0,2,0,0,0,4,1,0,1,3,0,1,0,4,1,0,5,2239
2239.Ch2,187,3541,7,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,2,0,0,1,0,2,0,0,0,1,2,0,2,2,0,1,0,4,1,0,6,2239
2239.Ch3,187,3541,7,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,3,0,0,2,0,2,0,0,0,2,2,0,2,3,0,2,0,1,1,0,4,2239
2239.Ch4,187,3541,7,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2239
2240.Ch1,187,3542,8,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch2,1,0,2,2,6,0,3,1,1,0,0,0,0,1,0,0,4,0,0,1,6,2240
2240.Ch2,187,3542,8,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch2,2,0,2,5,6,0,2,1,2,0,0,0,0,4,0,0,1,0,0,1,9,2240
2240.Ch3,187,3542,8,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch2,3,0,1,1,1,0,3,2,1,0,0,0,0,2,0,0,1,0,0,1,11,2240
2240.Ch4,187,3542,8,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2240
2241.Ch1,187,3543,9,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,1,3,0,3,0,1,2,3,0,0,0,3,2,0,3,0,4,0,0,0,5,2241
2241.Ch2,187,3543,9,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,2,3,0,3,0,2,2,1,0,0,0,2,2,0,3,0,3,0,0,0,11,2241
2241.Ch3,187,3543,9,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,3,2,0,5,0,1,2,3,0,0,0,2,2,0,3,0,4,0,0,0,7,2241
2241.Ch4,187,3543,9,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2241
2242.Ch1,187,3544,10,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,1,3,1,0,1,1,0,0,2,4,1,2,0,0,0,0,0,1,0,0,4,2242
2242.Ch2,187,3544,10,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,2,2,2,0,1,1,0,0,1,2,2,1,0,0,0,0,0,4,0,0,4,2242
2242.Ch3,187,3544,10,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,3,3,1,0,2,2,0,0,1,1,1,2,0,0,0,0,0,4,0,0,7,2242
2242.Ch4,187,3544,10,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2242
2243.Ch1,187,3545,11,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,1,3,0,0,1,0,0,2,0,4,0,0,0,4,2,3,0,0,3,1,5,2243
2243.Ch2,187,3545,11,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,2,1,0,0,5,0,0,3,0,3,0,0,0,4,1,3,0,0,3,2,4,2243
2243.Ch3,187,3545,11,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,3,2,0,0,1,0,0,1,0,2,0,0,0,3,1,1,0,0,3,1,2,2243
2243.Ch4,187,3545,11,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243
2244.Ch1,187,3546,12,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,1,0,2,3,0,0,3,0,1,0,0,1,0,1,0,2,0,1,1,0,11,2244
2244.Ch2,187,3546,12,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,2,0,1,5,0,0,1,0,2,0,0,1,0,2,0,2,0,4,3,0,5,2244
2244.Ch3,187,3546,12,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,3,0,1,1,0,0,3,0,1,0,0,3,0,2,0,3,0,1,2,0,9,2244
2244.Ch4,187,3546,12,Midsize Utility,2002,500,15,0,35,4,SW,0,185000,12,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2244
2245.Ch1,188,3554,1,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,1,0,1,1,0,0,2,1,2,2,0,2,0,0,0,1,0,0,1,0,6,2245
2245.Ch2,188,3554,1,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,2,0,1,2,0,0,3,2,2,2,0,1,0,0,0,1,0,0,2,0,5,2245
2245.Ch3,188,3554,1,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,3,0,1,4,0,0,3,1,1,2,0,2,0,0,0,1,0,0,2,0,5,2245
2245.Ch4,188,3554,1,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2245
2246.Ch1,188,3555,2,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,1,0,2,0,6,1,0,0,0,0,1,0,2,4,1,0,3,0,0,1,3,2246
2246.Ch2,188,3555,2,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,2,0,2,0,4,2,0,0,0,0,1,0,2,4,1,0,1,0,0,1,1,2246
2246.Ch3,188,3555,2,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,3,0,2,0,5,2,0,0,0,0,1,0,1,4,3,0,4,0,0,2,1,2246
2246.Ch4,188,3555,2,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2246
2247.Ch1,188,3556,3,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch3,1,1,0,0,5,0,0,0,0,1,1,1,0,0,2,0,2,0,2,1,7,2247
2247.Ch2,188,3556,3,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch3,2,2,0,0,4,0,0,0,0,4,1,2,0,0,3,0,4,0,3,1,6,2247
2247.Ch3,188,3556,3,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch3,3,1,0,0,4,0,0,0,0,3,1,2,0,0,2,0,1,0,3,1,1,2247
2247.Ch4,188,3556,3,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247
2248.Ch1,188,3557,4,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,1,3,1,1,0,1,3,3,0,0,0,0,1,0,0,3,0,2,0,0,10,2248
2248.Ch2,188,3557,4,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,2,3,2,5,0,1,2,3,0,0,0,0,2,0,0,2,0,3,0,0,3,2248
2248.Ch3,188,3557,4,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,3,2,2,2,0,1,1,3,0,0,0,0,2,0,0,2,0,2,0,0,2,2248
2248.Ch4,188,3557,4,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2248
2249.Ch1,188,3558,5,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch2,1,3,1,0,0,0,0,2,2,3,0,0,0,4,2,0,0,2,0,2,6,2249
2249.Ch2,188,3558,5,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch2,2,2,2,0,0,0,0,1,2,4,0,0,0,2,3,0,0,2,0,1,3,2249
2249.Ch3,188,3558,5,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch2,3,3,1,0,0,0,0,2,2,3,0,0,0,3,3,0,0,3,0,2,7,2249
2249.Ch4,188,3558,5,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2249
2250.Ch1,188,3559,6,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,1,0,0,1,3,0,1,0,1,0,1,0,0,2,0,3,3,0,1,0,3,2250
2250.Ch2,188,3559,6,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,2,0,0,1,5,0,2,0,2,0,1,0,0,3,0,2,2,0,1,0,10,2250
2250.Ch3,188,3559,6,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,3,0,0,5,5,0,1,0,2,0,2,0,0,1,0,3,3,0,3,0,8,2250
2250.Ch4,188,3559,6,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250
2251.Ch1,188,3560,7,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,1,0,1,2,0,2,0,0,1,4,0,2,1,0,1,0,2,0,0,0,9,2251
2251.Ch2,188,3560,7,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,2,0,1,2,0,2,0,0,1,4,0,3,1,0,2,0,4,0,0,0,12,2251
2251.Ch3,188,3560,7,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,3,0,1,2,0,1,0,0,1,1,0,2,1,0,1,0,4,0,0,0,4,2251
2251.Ch4,188,3560,7,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2251
2252.Ch1,188,3561,8,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,1,2,0,0,2,1,0,1,0,0,2,0,1,0,0,1,0,0,1,1,9,2252
2252.Ch2,188,3561,8,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,2,1,0,0,4,2,0,3,0,0,2,0,1,0,0,2,0,0,3,1,5,2252
2252.Ch3,188,3561,8,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,3,1,0,0,5,2,0,3,0,0,1,0,1,0,0,2,0,0,2,1,3,2252
2252.Ch4,188,3561,8,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252
2253.Ch1,188,3562,9,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch1,1,0,0,0,6,1,2,3,0,0,0,3,0,4,2,0,0,2,2,0,8,2253
2253.Ch2,188,3562,9,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch1,2,0,0,0,6,2,2,3,0,0,0,3,0,2,1,0,0,3,3,0,12,2253
2253.Ch3,188,3562,9,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch1,3,0,0,0,6,1,2,1,0,0,0,3,0,1,3,0,0,1,1,0,11,2253
2253.Ch4,188,3562,9,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2253
2254.Ch1,188,3563,10,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,1,0,1,2,0,0,0,0,0,2,0,2,2,1,0,1,0,3,0,2,9,2254
2254.Ch2,188,3563,10,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,2,0,2,1,0,0,0,0,0,4,0,2,2,2,0,1,0,3,0,2,5,2254
2254.Ch3,188,3563,10,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,3,0,1,4,0,0,0,0,0,3,0,2,1,2,0,3,0,3,0,1,9,2254
2254.Ch4,188,3563,10,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2254
2255.Ch1,188,3564,11,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,1,2,0,5,3,0,2,0,2,0,1,0,1,0,0,0,1,4,0,0,4,2255
2255.Ch2,188,3564,11,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,2,3,0,1,2,0,1,0,2,0,2,0,2,0,0,0,1,2,0,0,12,2255
2255.Ch3,188,3564,11,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,3,3,0,5,6,0,2,0,2,0,1,0,2,0,0,0,2,1,0,0,8,2255
2255.Ch4,188,3564,11,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2255
2256.Ch1,188,3565,12,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,1,2,0,0,0,2,0,0,1,0,0,3,0,4,1,3,4,0,1,0,3,2256
2256.Ch2,188,3565,12,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,2,3,0,0,0,1,0,0,1,0,0,1,0,3,2,3,2,0,2,0,9,2256
2256.Ch3,188,3565,12,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,3,3,0,0,0,2,0,0,1,0,0,1,0,3,2,1,4,0,1,0,2,2256
2256.Ch4,188,3565,12,Midsize Car,2004,75,5,0,70,4,NE,1,205000,0,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256
2257.Ch1,189,3573,1,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,1,0,0,5,2,2,0,0,2,1,0,2,1,0,0,0,0,0,1,2,4,2257
2257.Ch2,189,3573,1,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,2,0,0,1,1,2,0,0,2,1,0,2,2,0,0,0,0,0,2,2,7,2257
2257.Ch3,189,3573,1,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,3,0,0,3,6,1,0,0,1,2,0,3,1,0,0,0,0,0,3,2,3,2257
2257.Ch4,189,3573,1,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257
2258.Ch1,189,3574,2,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,1,0,1,0,0,0,2,0,0,0,1,0,0,1,1,1,2,1,1,0,2,2258
2258.Ch2,189,3574,2,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,2,0,1,0,0,0,1,0,0,0,1,0,0,3,2,2,2,2,1,0,11,2258
2258.Ch3,189,3574,2,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,3,0,2,0,0,0,2,0,0,0,2,0,0,3,3,1,4,1,2,0,12,2258
2258.Ch4,189,3574,2,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258
2259.Ch1,189,3575,3,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,1,2,0,0,1,2,2,0,0,3,0,0,2,0,1,1,0,4,0,0,11,2259
2259.Ch2,189,3575,3,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,2,3,0,0,1,2,3,0,0,3,0,0,2,0,1,1,0,4,0,0,2,2259
2259.Ch3,189,3575,3,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,3,2,0,0,5,2,1,0,0,3,0,0,2,0,1,1,0,2,0,0,3,2259
2259.Ch4,189,3575,3,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2259
2260.Ch1,189,3576,4,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,1,2,1,3,0,0,0,0,1,0,2,3,0,1,0,0,0,0,1,1,1,2260
2260.Ch2,189,3576,4,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,2,3,1,4,0,0,0,0,2,0,2,2,0,2,0,0,0,0,2,2,2,2260
2260.Ch3,189,3576,4,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,3,3,2,5,0,0,0,0,1,0,2,2,0,2,0,0,0,0,1,2,2,2260
2260.Ch4,189,3576,4,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2260
2261.Ch1,189,3577,5,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,1,0,2,0,4,1,0,1,2,0,2,2,0,0,0,2,2,0,0,0,8,2261
2261.Ch2,189,3577,5,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,2,0,2,0,5,1,0,2,1,0,2,1,0,0,0,1,1,0,0,0,2,2261
2261.Ch3,189,3577,5,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,3,0,1,0,4,2,0,3,2,0,2,3,0,0,0,2,2,0,0,0,5,2261
2261.Ch4,189,3577,5,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2261
2262.Ch1,189,3578,6,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,1,3,0,2,0,0,0,3,0,2,0,0,2,1,3,0,3,0,2,0,3,2262
2262.Ch2,189,3578,6,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,2,3,0,1,0,0,0,1,0,1,0,0,2,2,2,0,4,0,3,0,4,2262
2262.Ch3,189,3578,6,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,3,1,0,2,0,0,0,3,0,4,0,0,1,1,3,0,4,0,2,0,10,2262
2262.Ch4,189,3578,6,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2262
2263.Ch1,189,3579,7,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,1,3,0,0,1,0,3,0,0,1,2,3,0,0,2,0,0,1,0,2,1,2263
2263.Ch2,189,3579,7,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,2,2,0,0,5,0,2,0,0,4,2,1,0,0,1,0,0,2,0,1,8,2263
2263.Ch3,189,3579,7,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,3,3,0,0,5,0,1,0,0,1,1,1,0,0,1,0,0,3,0,2,8,2263
2263.Ch4,189,3579,7,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263
2264.Ch1,189,3580,8,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,1,0,0,2,0,2,0,1,1,0,0,0,0,1,0,2,1,4,0,1,11,2264
2264.Ch2,189,3580,8,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,2,0,0,5,0,2,0,2,2,0,0,0,0,2,0,1,2,2,0,1,4,2264
2264.Ch3,189,3580,8,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,3,0,0,4,0,1,0,1,1,0,0,0,0,1,0,2,1,1,0,1,12,2264
2264.Ch4,189,3580,8,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264
2265.Ch1,189,3581,9,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,1,0,2,0,2,1,2,0,2,0,0,0,1,4,1,0,0,0,1,0,1,2265
2265.Ch2,189,3581,9,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,2,0,2,0,4,1,1,0,1,0,0,0,2,4,1,0,0,0,1,0,1,2265
2265.Ch3,189,3581,9,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,3,0,2,0,3,1,1,0,1,0,0,0,1,4,2,0,0,0,1,0,10,2265
2265.Ch4,189,3581,9,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2265
2266.Ch1,189,3582,10,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,1,3,0,0,0,0,2,2,0,0,0,1,1,0,0,2,3,0,1,2,6,2266
2266.Ch2,189,3582,10,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,2,3,0,0,0,0,2,2,0,0,0,2,2,0,0,2,3,0,3,2,6,2266
2266.Ch3,189,3582,10,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,3,3,0,0,0,0,1,3,0,0,0,1,2,0,0,2,3,0,1,2,11,2266
2266.Ch4,189,3582,10,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266
2267.Ch1,189,3583,11,Midsize Utility,2000,225,15,1,45,4,MW,1,215000,52,Ch1,1,2,1,5,0,2,0,0,0,3,2,0,2,0,0,0,1,1,0,0,1,2267
