"","Case","No","Task","segment","year","miles","night","gender","age","educ","region","Urb","income","ppark","Ch1","Ch2","Ch3","Ch4","Choice","alt","CC","GN","NS","BU","FA","LD","BZ","FC","FP","RP","PP","KA","SC","TS","NV","MA","LB","AF","HU","Price","chid"
"234.Ch1",34,642,15,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,1,0,0,FALSE,1,0,1,0,0,2,3,0,2,3,2,1,0,0,0,0,1,3,0,0,6,234
"234.Ch2",34,642,15,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,1,0,0,TRUE,2,0,1,0,0,2,3,0,2,2,2,2,0,0,0,0,2,1,0,0,2,234
"234.Ch3",34,642,15,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,1,0,0,FALSE,3,0,1,0,0,2,3,0,1,4,1,2,0,0,0,0,4,4,0,0,10,234
"234.Ch4",34,642,15,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
"235.Ch1",34,643,16,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,1,0,0,FALSE,1,0,0,1,0,1,0,2,0,0,1,0,0,4,0,2,1,0,2,1,7,235
"235.Ch2",34,643,16,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,1,0,0,TRUE,2,0,0,3,0,2,0,1,0,0,2,0,0,1,0,2,2,0,2,1,2,235
"235.Ch3",34,643,16,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,1,0,0,FALSE,3,0,0,2,0,2,0,2,0,0,1,0,0,1,0,2,1,0,3,2,7,235
"235.Ch4",34,643,16,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
"236.Ch1",34,644,17,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,FALSE,1,2,1,0,6,0,1,0,1,1,0,0,2,0,3,0,3,0,0,0,9,236
"236.Ch2",34,644,17,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,FALSE,2,2,1,0,1,0,1,0,2,1,0,0,2,0,1,0,4,0,0,0,5,236
"236.Ch3",34,644,17,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,FALSE,3,2,2,0,6,0,2,0,2,2,0,0,2,0,1,0,2,0,0,0,5,236
"236.Ch4",34,644,17,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236
"237.Ch1",34,645,18,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,FALSE,1,2,0,2,0,0,2,1,1,4,1,0,0,0,0,0,0,1,2,0,11,237
"237.Ch2",34,645,18,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,FALSE,2,3,0,2,0,0,3,2,1,1,1,0,0,0,0,0,0,3,2,0,11,237
"237.Ch3",34,645,18,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,FALSE,3,3,0,3,0,0,2,2,1,4,2,0,0,0,0,0,0,3,3,0,8,237
"237.Ch4",34,645,18,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
"238.Ch1",34,646,19,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,FALSE,1,0,0,0,5,2,0,0,2,0,0,3,2,4,1,3,0,0,0,2,6,238
"238.Ch2",34,646,19,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,FALSE,2,0,0,0,3,1,0,0,1,0,0,1,1,3,1,2,0,0,0,2,11,238
"238.Ch3",34,646,19,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,FALSE,3,0,0,0,1,2,0,0,2,0,0,3,2,3,3,2,0,0,0,2,9,238
"238.Ch4",34,646,19,"Small Car",2005,125,5,0,25,6,"W",1,195000,12,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238
"239.Ch1",35,659,13,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,1,0,FALSE,1,1,0,0,0,0,1,1,2,1,0,0,1,0,0,2,0,2,0,2,11,239
"239.Ch2",35,659,13,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,1,0,FALSE,2,1,0,0,0,0,2,1,2,4,0,0,1,0,0,2,0,1,0,1,8,239
"239.Ch3",35,659,13,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,1,0,TRUE,3,1,0,0,0,0,1,3,1,4,0,0,2,0,0,3,0,3,0,2,1,239
"239.Ch4",35,659,13,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
"240.Ch1",35,660,14,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,TRUE,1,0,2,0,1,2,0,0,0,2,2,0,0,0,2,1,0,0,3,2,1,240
"240.Ch2",35,660,14,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,FALSE,2,0,1,0,5,1,0,0,0,4,1,0,0,0,2,3,0,0,2,2,8,240
"240.Ch3",35,660,14,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,FALSE,3,0,1,0,1,1,0,0,0,4,1,0,0,0,3,1,0,0,1,2,4,240
"240.Ch4",35,660,14,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
"241.Ch1",35,661,15,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,1,0,FALSE,1,3,1,5,0,0,1,1,0,0,0,2,0,1,0,2,4,0,0,0,12,241
"241.Ch2",35,661,15,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,1,0,FALSE,2,2,2,5,0,0,3,1,0,0,0,1,0,1,0,3,2,0,0,0,10,241
"241.Ch3",35,661,15,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,1,0,TRUE,3,2,1,1,0,0,1,1,0,0,0,1,0,1,0,1,2,0,0,0,10,241
"241.Ch4",35,661,15,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
"242.Ch1",35,662,16,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,1,0,0,FALSE,1,0,0,4,0,2,0,0,2,4,0,3,2,1,0,0,1,0,0,2,8,242
"242.Ch2",35,662,16,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,1,0,0,TRUE,2,0,0,2,0,1,0,0,1,2,0,1,2,3,0,0,3,0,0,2,6,242
"242.Ch3",35,662,16,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,1,0,0,FALSE,3,0,0,1,0,1,0,0,1,4,0,3,2,3,0,0,2,0,0,1,10,242
"242.Ch4",35,662,16,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
"243.Ch1",35,663,17,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,TRUE,1,3,0,0,1,0,1,2,0,0,1,0,0,1,1,0,0,2,2,0,1,243
"243.Ch2",35,663,17,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,FALSE,2,2,0,0,6,0,3,1,0,0,2,0,0,4,3,0,0,2,3,0,2,243
"243.Ch3",35,663,17,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,FALSE,3,3,0,0,5,0,1,2,0,0,2,0,0,2,3,0,0,4,1,0,8,243
"243.Ch4",35,663,17,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243
"244.Ch1",35,664,18,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,TRUE,1,0,0,3,3,2,2,0,2,0,1,1,0,0,0,2,0,1,0,0,3,244
"244.Ch2",35,664,18,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,FALSE,2,0,0,2,1,1,1,0,1,0,2,3,0,0,0,1,0,4,0,0,11,244
"244.Ch3",35,664,18,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,FALSE,3,0,0,3,4,1,1,0,1,0,2,2,0,0,0,2,0,4,0,0,4,244
"244.Ch4",35,664,18,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,1,0,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
"245.Ch1",35,665,19,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,0,1,FALSE,1,1,1,0,0,0,0,1,0,4,0,0,2,0,1,0,1,0,2,1,6,245
"245.Ch2",35,665,19,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,0,1,FALSE,2,2,1,0,0,0,0,1,0,4,0,0,2,0,2,0,2,0,2,2,9,245
"245.Ch3",35,665,19,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,0,1,FALSE,3,2,2,0,0,0,0,2,0,4,0,0,1,0,2,0,3,0,1,2,11,245
"245.Ch4",35,665,19,"Midsize Car",2005,125,35,0,25,5,"SW",2,215000,12,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245
"246.Ch1",36,678,13,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,1,0,FALSE,1,1,1,5,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,3,246
"246.Ch2",36,678,13,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,1,0,FALSE,2,3,1,1,1,0,3,0,0,0,2,0,0,3,0,3,0,0,0,2,11,246
"246.Ch3",36,678,13,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,1,0,TRUE,3,3,2,2,3,0,3,0,0,0,2,0,0,1,0,1,0,0,0,1,5,246
"246.Ch4",36,678,13,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
"247.Ch1",36,679,14,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,1,0,0,FALSE,1,3,0,3,0,2,0,2,1,0,0,1,2,0,0,1,0,0,3,0,1,247
"247.Ch2",36,679,14,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,1,0,0,TRUE,2,2,0,3,0,2,0,1,1,0,0,1,1,0,0,2,0,0,1,0,3,247
"247.Ch3",36,679,14,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,1,0,0,FALSE,3,3,0,3,0,2,0,3,1,0,0,1,1,0,0,2,0,0,2,0,11,247
"247.Ch4",36,679,14,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247
"248.Ch1",36,680,15,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,1,0,2,0,0,0,0,0,0,1,1,0,0,3,1,0,3,2,2,2,4,248
"248.Ch2",36,680,15,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,2,0,2,0,0,0,0,0,0,4,1,0,0,4,1,0,2,2,1,1,9,248
"248.Ch3",36,680,15,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,3,0,1,0,0,0,0,0,0,4,1,0,0,3,2,0,4,2,3,1,7,248
"248.Ch4",36,680,15,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248
"249.Ch1",36,681,16,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,1,3,0,1,5,0,0,2,0,1,0,1,0,0,0,3,0,2,0,2,5,249
"249.Ch2",36,681,16,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,2,2,0,2,1,0,0,3,0,2,0,3,0,0,0,3,0,3,0,1,9,249
"249.Ch3",36,681,16,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,3,1,0,3,1,0,0,2,0,2,0,2,0,0,0,3,0,1,0,1,1,249
"249.Ch4",36,681,16,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
"250.Ch1",36,682,17,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,1,2,2,0,0,1,3,0,1,0,2,0,2,0,1,0,2,0,0,0,2,250
"250.Ch2",36,682,17,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,2,1,2,0,0,2,2,0,2,0,1,0,1,0,2,0,2,0,0,0,10,250
"250.Ch3",36,682,17,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,3,1,1,0,0,2,2,0,2,0,1,0,2,0,2,0,2,0,0,0,2,250
"250.Ch4",36,682,17,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
"251.Ch1",36,683,18,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,1,0,0,4,0,0,0,0,2,3,1,2,0,4,2,2,3,0,0,0,10,251
"251.Ch2",36,683,18,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,2,0,0,4,0,0,0,0,2,3,2,2,0,4,1,1,3,0,0,0,1,251
"251.Ch3",36,683,18,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,3,0,0,3,0,0,0,0,1,2,1,3,0,4,1,2,3,0,0,0,6,251
"251.Ch4",36,683,18,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251
"252.Ch1",36,684,19,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,1,0,2,0,6,2,2,3,0,0,0,0,1,0,0,0,0,4,2,2,4,252
"252.Ch2",36,684,19,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,2,0,2,0,1,2,1,3,0,0,0,0,2,0,0,0,0,4,3,2,6,252
"252.Ch3",36,684,19,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,FALSE,3,0,2,0,1,1,1,3,0,0,0,0,1,0,0,0,0,2,3,2,12,252
"252.Ch4",36,684,19,"Midsize Car",2001,225,5,0,45,4,"SW",2,165000,0,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
"253.Ch1",37,697,13,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,1,0,0,0,2,0,2,1,2,0,1,0,0,1,3,3,0,0,0,2,10,253
"253.Ch2",37,697,13,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,2,0,0,0,6,0,3,1,2,0,1,0,0,3,2,3,0,0,0,2,2,253
"253.Ch3",37,697,13,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,3,0,0,0,1,0,1,1,1,0,2,0,0,1,1,1,0,0,0,1,11,253
"253.Ch4",37,697,13,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253
"254.Ch1",37,698,14,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,1,0,0,FALSE,1,0,1,5,3,0,0,3,2,1,0,2,0,4,0,0,0,0,3,0,8,254
"254.Ch2",37,698,14,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,1,0,0,TRUE,2,0,2,3,3,0,0,2,2,4,0,3,0,4,0,0,0,0,3,0,6,254
"254.Ch3",37,698,14,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,1,0,0,FALSE,3,0,2,3,5,0,0,3,1,2,0,2,0,3,0,0,0,0,2,0,12,254
"254.Ch4",37,698,14,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254
"255.Ch1",37,699,15,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,1,2,0,0,0,2,0,0,2,0,1,0,2,1,0,3,4,2,0,0,2,255
"255.Ch2",37,699,15,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,2,2,0,0,0,2,0,0,1,0,2,0,1,4,0,3,2,2,0,0,3,255
"255.Ch3",37,699,15,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,3,2,0,0,0,1,0,0,1,0,1,0,2,2,0,1,4,4,0,0,3,255
"255.Ch4",37,699,15,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
"256.Ch1",37,700,16,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,1,0,FALSE,1,1,0,0,1,1,3,2,0,0,0,1,0,0,1,2,4,0,0,0,5,256
"256.Ch2",37,700,16,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,1,0,FALSE,2,2,0,0,1,2,1,1,0,0,0,1,0,0,3,1,1,0,0,0,11,256
"256.Ch3",37,700,16,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,1,0,TRUE,3,3,0,0,5,1,1,2,0,0,0,2,0,0,1,2,4,0,0,0,4,256
"256.Ch4",37,700,16,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
"257.Ch1",37,701,17,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,1,0,1,2,0,0,0,3,0,3,1,0,2,0,0,0,0,4,1,2,8,257
"257.Ch2",37,701,17,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,2,0,2,5,0,0,0,2,0,2,1,0,2,0,0,0,0,4,2,1,2,257
"257.Ch3",37,701,17,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,3,0,1,1,0,0,0,1,0,3,1,0,1,0,0,0,0,3,3,1,7,257
"257.Ch4",37,701,17,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257
"258.Ch1",37,702,18,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,1,0,0,0,TRUE,1,1,1,1,5,2,0,0,1,0,0,0,0,0,0,2,0,2,1,0,4,258
"258.Ch2",37,702,18,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,1,0,0,0,FALSE,2,2,2,4,4,2,0,0,2,0,0,0,0,0,0,2,0,3,2,0,7,258
"258.Ch3",37,702,18,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,1,0,0,0,FALSE,3,2,1,3,1,1,0,0,2,0,0,0,0,0,0,2,0,2,1,0,1,258
"258.Ch4",37,702,18,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,1,0,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258
"259.Ch1",37,703,19,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,1,0,0,0,0,0,1,0,0,1,1,1,1,3,2,0,4,0,0,1,9,259
"259.Ch2",37,703,19,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,2,0,0,0,0,0,1,0,0,1,1,1,1,3,1,0,2,0,0,2,8,259
"259.Ch3",37,703,19,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,FALSE,3,0,0,0,0,0,1,0,0,3,2,2,1,1,3,0,3,0,0,2,6,259
"259.Ch4",37,703,19,"Midsize Car",2005,500,65,1,25,5,"MW",2,195000,52,0,0,0,1,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259
"260.Ch1",38,716,13,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,1,0,0,FALSE,1,2,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,4,3,2,5,260
"260.Ch2",38,716,13,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,1,0,0,TRUE,2,3,1,2,0,0,0,2,0,4,0,0,0,0,2,0,0,3,2,1,4,260
"260.Ch3",38,716,13,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,1,0,0,FALSE,3,1,1,5,0,0,0,2,0,4,0,0,0,0,1,0,0,1,2,1,3,260
"260.Ch4",38,716,13,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
"261.Ch1",38,717,14,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,1,0,0,0,TRUE,1,0,0,5,1,1,0,0,0,2,2,0,0,0,0,1,4,4,1,0,12,261
"261.Ch2",38,717,14,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,1,0,0,0,FALSE,2,0,0,4,4,1,0,0,0,1,2,0,0,0,0,1,2,2,2,0,8,261
"261.Ch3",38,717,14,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,1,0,0,0,FALSE,3,0,0,3,6,2,0,0,0,2,1,0,0,0,0,3,2,4,1,0,6,261
"261.Ch4",38,717,14,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,1,0,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261
"262.Ch1",38,718,15,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,1,2,0,0,0,0,2,0,1,0,0,1,2,1,2,0,0,3,3,0,11,262
"262.Ch2",38,718,15,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,2,2,0,0,0,0,3,0,2,0,0,3,2,3,2,0,0,4,3,0,7,262
"262.Ch3",38,718,15,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,TRUE,3,1,0,0,0,0,2,0,1,0,0,3,1,1,2,0,0,2,1,0,4,262
"262.Ch4",38,718,15,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262
"263.Ch1",38,719,16,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,1,0,0,0,TRUE,1,2,0,0,0,1,0,2,0,0,2,1,0,1,1,0,1,0,0,1,1,263
"263.Ch2",38,719,16,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,1,0,0,0,FALSE,2,2,0,0,0,1,0,2,0,0,2,1,0,2,3,0,3,0,0,1,3,263
"263.Ch3",38,719,16,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,1,0,0,0,FALSE,3,1,0,0,0,1,0,2,0,0,1,3,0,3,2,0,2,0,0,1,5,263
"263.Ch4",38,719,16,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,1,0,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263
"264.Ch1",38,720,17,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,1,0,1,4,4,0,2,0,2,3,0,0,1,0,3,2,0,0,0,0,5,264
"264.Ch2",38,720,17,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,2,0,2,2,3,0,3,0,2,3,0,0,2,0,2,1,0,0,0,0,7,264
"264.Ch3",38,720,17,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,TRUE,3,0,1,1,2,0,2,0,1,2,0,0,2,0,1,1,0,0,0,0,6,264
"264.Ch4",38,720,17,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264
"265.Ch1",38,721,18,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,1,0,1,4,0,0,3,1,0,0,1,0,2,3,0,0,0,3,0,2,1,265
"265.Ch2",38,721,18,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,2,0,2,1,0,0,2,2,0,0,1,0,1,3,0,0,0,4,0,2,8,265
"265.Ch3",38,721,18,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,TRUE,3,0,1,2,0,0,2,3,0,0,2,0,1,3,0,0,0,4,0,2,5,265
"265.Ch4",38,721,18,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
"266.Ch1",38,722,19,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,1,3,0,0,6,2,0,0,1,2,0,3,0,0,0,3,3,0,3,0,10,266
"266.Ch2",38,722,19,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,2,3,0,0,3,2,0,0,2,3,0,2,0,0,0,3,2,0,1,0,6,266
"266.Ch3",38,722,19,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,TRUE,3,3,0,0,4,1,0,0,1,1,0,1,0,0,0,1,2,0,1,0,6,266
"266.Ch4",38,722,19,"Small Car",2004,175,5,1,25,4,"W",2,250000,52,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266
"267.Ch1",39,735,13,"Midsize Car",2003,125,5,0,25,4,"W",1,165000,52,0,0,1,0,FALSE,1,0,1,0,0,2,0,0,1,4,0,0,2,4,1,3,0,0,3,0,3,267
"267.Ch2",39,735,13,"Midsize Car",2003,125,5,0,25,4,"W",1,165000,52,0,0,1,0,FALSE,2,0,1,0,0,2,0,0,1,4,0,0,2,1,3,3,0,0,3,0,12,267
"267.Ch3",39,735,13,"Midsize Car",2003,125,5,0,25,4,"W",1,165000,52,0,0,1,0,TRUE,3,0,2,0,0,1,0,0,2,2,0,0,2,3,2,2,0,0,2,0,4,267
"267.Ch4",39,735,13,"Midsize Car",2003,125,5,0,25,4,"W",1,165000,52,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
